"","folder","date","individual","morph","origin","observer","observation_number","observation","day_in_captivity","assay_number","cycle","cue","trait","session","temp","precip","humid","wind","press","moon","test_start","test_end","actual_end","first_trig","food_trig","emerge","emergeflip","food","foodflip","active","vigil","out","hidraw","hid","trig","trigpass","gud","tame"
"1","001 - EQ18 D02 T01 C1 S1",2017-06-15,"EQ18","Fawn","Captive","BW",1,1,2,1,-1.52411176318099,"Light","Exploration",-1.00671410774027,0.250249340985402,-0.313291251794084,0.588952550035671,-0.468477567408121,0.780555084993129,0.460898972909696,"0.75208333333333333","0.83888888888888891","0.8354166666666667","0.76424768518518515","0.76424768518518515",-0.561271664204754,103,-1.13746785764828,103,-0.351228501018114,-0.662355992726092,-0.496285275631228,3.09298333333333,0.49628527563123,8,-0.520864643303931,0.763698722296776,"0"
"2","002 - EQ19 D05 T01 C4 S1",2017-06-18,"EQ19","Dark","Captive","BW",2,1,5,1,-0.217730251882999,"Audio","Boldness",-1.00671410774027,0.535279098853521,-0.313291251794084,-1.194918480435,-1.43156923599354,1.26754145312551,-0.444753384815203,"0.76041666666666663","0.84513888888888899","0.84375","0.80421296296296296","GUD",0.633880893754697,57,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,0.51305,0.731844648563365,1,-0.673779033998663,2.41412858318647,"0"
"3","003 - EQ20 D02 T01 C1 S1",2017-06-15,"EQ20","Dark","Captive","BW",3,1,2,1,-1.52411176318099,"Light","Exploration",-1.00671410774027,0.250249340985402,-0.313291251794084,0.588952550035671,-0.468477567408121,0.780555084993129,0.460898972909696,"0.75208333333333333","0.83888888888888891","0.8354166666666667","0.7718518518518519","0.77443287037037034",-0.275474313388363,92,-0.807681680955019,88,1.21024870175327,0.21437988665112,0.933643630269177,25.4486,-0.933643630269176,64,0.498564627994283,0.14478752446314,"0"
"4","004 - EQ21 D02 T01 C1 S1",2017-06-15,"EQ21","Fawn","Captive","BW",4,1,2,1,-1.52411176318099,"Light","Exploration",-1.00671410774027,0.250249340985402,-0.313291251794084,0.588952550035671,-0.468477567408121,0.780555084993129,0.460898972909696,"0.75208333333333333","0.83888888888888891","0.8354166666666667","0.77431712962962962","GUD",-0.171548004000585,88,1.12706388897879,0,-0.439938152397331,-0.692791927827899,-0.570247773665432,4.44435,0.570247773665432,10,-0.622807570433752,0.763698722296776,"0"
"5","005 - EQ23 D05 T01 C4 S1",2017-06-18,"EQ23","Fawn","Captive","BW",5,1,5,1,-0.217730251882999,"Audio","Boldness",-1.00671410774027,0.535279098853521,-0.313291251794084,-1.194918480435,-1.43156923599354,1.26754145312551,-0.444753384815203,"0.76180555555555562","0.84652777777777777","0.84513888888888899","0.76357638888888879","0.76648148148148154",-0.950995324408923,118,-1.37931105389001,114,3.60606443229149,1.22640014289368,3.00252485430963,69.7667,-3.00252485430963,167,2.74130902485035,-0.474123673370495,"2"
"6","006 - EQ24 D05 T01 C2 S1",2017-07-01,"EQ24","Fawn","Wild","GH",6,1,5,1,-1.08865125941499,"Scent","Sociality",-1.00671410774027,-0.54149998642604,-0.313291251794084,-1.84359885515161,-0.747267260946005,1.10521266374805,-0.273818999416795,"0.74375000000000002","0.83750000000000002","0.82708333333333339","0.7713078703703703","GUD",0.0103230374280271,81,1.12706388897879,0,-0.293424287265397,-0.219560915516832,-0.289283411745017,9.40758333333333,0.289283411745016,22,-0.622807570433752,-0.474123673370495,"0"
"7","007 - EQ25 D05 T01 C2 S1",2017-07-01,"EQ25","Dark","Wild","GH",7,1,5,1,-1.08865125941499,"Scent","Sociality",-1.00671410774027,-0.54149998642604,-0.313291251794084,-1.84359885515161,-0.747267260946005,1.10521266374805,-0.273818999416795,"0.74444444444444446","0.83819444444444446","0.82777777777777783","0.7628125","0.77462962962962967",-0.327437468082253,94,-0.565838484713293,77,1.27053812851765,1.91401440014864,1.61429479715645,36.6309333333333,-1.61429479715645,91,0.702450482253925,-0.474123673370495,"0"
"8","008 - EQ27 D05 T01 C2 S1",2017-07-01,"EQ27","Dark","Wild","GH",8,1,5,1,-1.08865125941499,"Scent","Sociality",-1.00671410774027,-0.54149998642604,-0.313291251794084,-1.84359885515161,-0.747267260946005,1.10521266374805,-0.273818999416795,"0.74652777777777779","0.84027777777777779","0.82986111111111116","0.77894675925925927","0.77894675925925927",0.192194078856639,74,-0.49988124937464,74,-0.348835332932811,-0.314863818515978,-0.364127597107423,15.91665,0.364127597107424,34,-0.0111500076548242,-0.474123673370495,"0"
"9","009 - EQ28 D03 T01 C3 S1",2017-07-02,"EQ28","Fawn","Wild","BW",9,1,3,1,-0.653190755648996,"Control","Control",-1.00671410774027,-0.193130282365005,-0.313291251794084,-2.8977044640661,-0.747267260946005,0.309801595798515,0.0200681895138013,"0.74722222222222223","0.84097222222222223","0.8305555555555556","0.76065972222222211","0.78037037037037038",-0.509308509510865,101,-0.477895504261756,73,-0.17805950809444,-0.26109773275998,-0.22355381226896,16.3389,0.223553812268961,36,0.141764383039908,-0.474123673370495,"0"
"10","010 - EQ29 D02 T01 C3 S1",2017-07-02,"EQ29","Fawn","Wild","BW",10,1,2,1,-0.653190755648996,"Control","Control",-1.00671410774027,-0.193130282365005,-0.313291251794084,-2.8977044640661,-0.747267260946005,0.309801595798515,0.0200681895138013,"0.74444444444444446","0.84375","0.82777777777777783","0.75369212962962961","GUD",-0.665197973592532,107,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,0.5127,0.731844648563365,1,-0.673779033998663,-0.474123673370495,"0"
