individual,origin,morph,release_condition,fate,performance,assay_weight,pr_weight,release_easting,release_northing,first_night_easting,first_night_northing,first_night_dist,days_to_settle,den_shared_days,dens_used,moved_dens,mean_dist,mean_dist_zero,hr100,perf,i_emerge,s_emerge,i_food,s_food,i_active,s_active,i_vigil,s_vigil,i_out,s_out,i_hid,s_hid,i_gud,s_gud,i_trigpass,s_trigpass
EQ18,Captive,Fawn,Good,1,3,-12.666666666666671,10.43256997455471,697084,6106399,697018,6106241,171.23079999999999,5,3,9,13,95.590330269999995,318.63443419999999,21.283449999999998,Good,7.18688931577695,-1.2565637292593,1.91289406561053,-0.569181164779519,-1.99262440836123,0.13633067722901,-1.39721582868781,0.210006405609897,-1.92928273146963,0.174954591607049,1.92928273146963,-0.174954591607049,10.3658922014024,-1.7271078671269,-1.49110231415058,0.138465896935694
EQ19,Captive,Dark,Good,1,2,-3.3333333333333286,7.5431034482758719,697084,6106299,697233,6105847,475.92540000000002,17,5,13,21,194.8836805,389.76736099999999,36.919550000000001,Fair,-2.17099082483904,0.114667212585245,8.22638634640114,0.312912484828956,-1.60553634531078,0.020214284144393,-0.0520897703266647,0.0364959159062407,-1.1513633803714,0.0279527277341423,1.1513633803714,-0.0279527277341424,-4.07208692059935,0.200121630811641,-0.674381788145178,-0.00253208206269416
EQ20,Captive,Dark,Good,0,1,-4.352331606217618,-9.7508125677139788,697134,6106349,697151,6106490,142.02109999999999,"NA",0,7,6,177.53108710000001,213.0373045,"NA",Poor,-0.774618407582172,0.0809446213922724,0.463404474517221,0.0460531601431442,-0.711196358496016,0.133664326158041,-3.10366308244122,0.339081815912481,-1.66666253566305,0.221538086061786,1.66666253566305,-0.221538086061787,-4.44013672778535,1.1758027396827,-1.20710763880587,0.157157481926512
EQ21,Captive,Fawn,Good,1,2,-11.333333333333343,6.8922305764411078,697034,6106349,697546,6106056,589.90930000000003,13,13,9,14,212.34488210000001,653.36886790000005,63.771000000000001,Fair,-7.48201899625068,1.08266578915562,-15.2055288120024,2.16419804621225,2.68683532542245,-0.0219629811415603,-3.63049536108546,0.688645320463553,0.530937026842143,0.243078639780766,-0.530937026842123,-0.243078639780769,6.274079736129,-0.643294581120882,4.17030138480666,-0.206441077698994
EQ22,Captive,Dark,Good,1,2,-3.085714285714289,9.4339622641509351,697084,6106399,697528,6106222,477.98009999999999,8,18,5,15,73.481738350000001,209.94782380000001,3.6400999999999999,Fair,5.21951190206961,-2.16612748001903,3.88181572856602,-1.749432618601,6.42425338654289,-0.569187739771666,-4.26518434649416,1.38295138164255,2.92728710365657,0.11800504307453,-2.92728710365656,-0.118005043074531,5.07151465377384,-1.48893753192344,8.37158834727179,-0.959502267602825
EQ23,Captive,Fawn,Good,1,2,-11.35802469135804,8.3565459610027943,697084,6106299,697493,6106270,410.02679999999998,5,33,6,8,66.307036760000003,359.95248529999998,12.834899999999999,Fair,-2.5566506479234,-0.349448198348311,-4.33068802048679,-0.380595301631939,3.76871512568589,0.217970881207921,-3.18729149031688,0.0611676854588177,1.46000344343784,0.176622462802168,-1.46000344343784,-0.176622462802169,-5.13801183957593,-0.209741041940115,2.31350411653553,0.317829991873184
EQ24,Wild,Fawn,Fair,1,3,-14.252873563218387,45.844504021447733,697134,6106349,696158,6106176,991.21389999999997,6,4,6,12,191.5323047,679.0690803,37.748100000000001,Good,3.57476625763714,-1.19250827275243,4.73287296056915,-1.00134722554058,-0.799780134775539,0.0745001933610042,0.514835689504211,-0.304043014804543,-0.370494371959848,-0.0616389557234793,0.370494371959844,0.0616389557234803,-1.90343221286953,0.409894179147569,-0.709589835492923,-0.137724649095506
EQ25,Wild,Dark,Fair,"NA",1,-25.027322404371574,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",Poor,-0.881579438669758,0.0850087198645437,3.59949271829407,-1.20856241312023,0.0388517905472782,0.103887907599571,-0.588565857675642,0.240167792044464,-0.193596866343097,0.16340891104061,0.193596866343092,-0.163408911040608,-0.474123673370497,1.92448380580008e-16,0.352220165370806,-0.0500420079650677
EQ26,Wild,Fawn,Fair,1,3,-10.625,15.734265734265733,697034,6106349,697545,6106052,591.04150000000004,5,21,4,9,38.711824270000001,193.55912140000001,3.1622499999999998,Good,0.00506947656408618,0.236927527770402,2.91336322156466,-1.00208317700578,-0.900077218498093,0.00540362336413725,-2.60565664369411,0.517554497123994,-1.61282880715748,0.198132067667654,1.61282880715748,-0.198132067667654,-0.170945140928148,0.148060365137689,-0.772940336397007,0.0318270748423779
EQ27,Wild,Dark,Good,1,3,-19.817351598173516,11.95899772209566,697084,6106399,697545,6106052,577.0009,3,37,5,8,162.11655619999999,880.06130480000002,68.53725,Good,1.19195716748109,-0.0935204164168478,-0.340121439264683,0.271819254318611,-0.856519779190497,0.217708302355875,-2.36479962504867,0.868819212772208,-1.49169043112544,0.479681058900086,1.49169043112545,-0.479681058900086,0.900494998260512,-0.514411216440269,-0.71373022145227,0.242403023847761
