"Behavioural.response","Coefficient","Fate","X.","X..1","Post.release.weight....","X..2","X..3","Number.of.dens","X..4","X..5","Mean.distance.between.dens..m.","X..6","X..7","Days.spent.den.sharing","X..8","X..9","Home.range..95..MCP.","X..10","X..11"
" "," ","Likelihood-ratio χ2","Residual deviance","p-value","Likelihood-ratio","Residual deviance","p-value","Likelihood-ratio","Residual deviance","p-value","Likelihood-ratio χ2","Residual deviance","p-value","Likelihood-ratio χ2","Residual deviance","p-value","Likelihood-ratio χ2","Residual deviance","p-value"
"Latency to emerge (min)","Intercept","0.0272293467972573","2.30199396297022","0.895689155870798","0.432065077524694","1804.47697022131","0.524492691791274","0.0139722663566722","128.913176782115","0.924294440421626","0.0502149512912328","46883.8534477769","0.985967756149696","0.688156006324549","1837.36293421855","0.381332344799841","3.1973859137541","5141.48324529622","0.0925514474434693"
" ","Slope","0.954599973545213","2.12341821899436","0.463162619715342","1.75523083271003","1617.28928508005","0.212083403945622","0.00567533664571877","129.010361510345","0.509768011944","1.08353680180776","42512.8560784082","0.395810232755576","0.0248574573341995","1947.90587529078","0.787757398699553","0.0536672662221095","6749.19278313979","0.911559018481421"
"Latency to reach food (min)","Intercept","0.0163554481795285","2.30426618894275","0.938992704117056","0.736112373731256","1757.72841103992","0.409214233052218","1.87727647996506e-05","129.076702792688","0.945698284540396","0.416290782576982","45236.1416103268","0.590659508222061","0.722660697827782","1831.95480692911","0.46764589721513","0.014385930664223","6775.66642898238","0.952958152608946"
" ","Slope","0.454464224301476","2.21613293188869","0.559580286070673","2.10163796315223","1574.52817826919","0.175047187716621","0.663046061433696","121.738879051603","0.125260515984871","6.24223245909728","29010.3473202712","0.0426886148155562","0.0985405381546937","1934.97375096809","0.988289978510959","0.27360404586549","6604.70641601009","0.579195020954764"
"Time spent exposed (s)","Intercept","5.77460925663601","1.5132761065402","0.254505721736675","0.0734648180828733","1862.91269203996","0.41474703010986","0.987142667323699","118.447422646981","0.128864337479646","0.32767311665296","45624.2949958607","0.0966120621262541","1.26155598983261","1751.44040717118","0.0325295472964749","1.13300224490545","6094.86435595803","0.0273562043772152"
" ","Slope","0.905001337462917","2.13226480745823","0.738065260860615","0.52459508673787","1789.98897568242","0.394896311588187","1.2870988594023","115.555850090655","0.287690310900172","1.22645451027029","41971.6487038658","0.39189090641786","2.34417801908852","1609.3448831891","0.0809939817114047","4.39850506925729","4712.5821903659","0.197210477686441"
"Time spent vigilant (s)","Intercept","3.70714149945534","1.72600606212672","0.21507669851376","0.718348796647393","1760.39291136021","0.791376008759225","3.00706046937018","101.366461360754","0.818975332970952","2.76079418701317","36925.0375791292","0.985475931960044","0.0424222005118654","1944.80741864671","0.813428931973594","4.69967068681237","4616.03120253228","0.647548775720645"
" ","Slope","0.135053533748582","2.27970303938626","0.438163332382161","0.783890394413431","1750.60166583393","0.484008584249434","1.09048927573084","117.434962429205","0.28728843787806","1.34488320009533","41533.5086826663","0.429789368422268","2.42293365550854","1599.90246294419","0.0101483404625944","3.01576228792333","5213.22816568596","0.145101726554448"
"Giving-up-density","Intercept","1.34274387122736","2.05664280563987","0.398504166500234","0.00950636506439203","1873.73506771608","0.924082743415366","1.03283069582103","117.997683981315","0.467891236187121","0.358230718182705","45489.6997098036","0.500463432741387","0.180723838868645","1920.75083195666","0.33002009408961","3.73814082633839","4939.10634743145","0.166041861359377"
" ","Slope","3.05785659742614","1.80572445085711","0.227063053203904","0.00391212147435738","1874.68764987743","0.951249331949436","0.19133924532175","126.870084332372","0.929371326856802","0.486491760577193","44933.3118885757","0.60187465379456","0.701590119843016","1835.25353353196","0.926656949534372","0.171567580824011","6670.96177831992","0.931597816786462"
"Proactive PC","Intercept","5.80777604983584","1.51028995801401","0.162242985131852","0.0122793270518277","1873.26324930656","0.913761327862524","1.76607090225501","111.22029359835","0.629768410705686","0.576376838684145","44551.4387471105","0.587788507641874","0.172280870657082","1922.20235635032","0.499911480913227","4.08841330640945","4816.30805978734","0.172648848219005"
" ","Slope","0.189653031386225","2.26857931281812","0.715612776507824","0.197471999656495","1842.28173601125","0.665385036214248","0.194180177722515","126.837886410993","0.551615191003156","1.63871784566237","40484.9409654349","0.410722873618426","2.84574988519859","1551.04525167989","0.141255445498592","0.896653909287025","6227.06191479975","0.351208711233719"
"Reactive PC","Intercept","0.123564266457564","2.28205769091128","0.688111221044813","1.05544383303306","1711.1687002298","0.326318036141404","0.137351809609405","127.485077073807","0.815727251260681","0.0342274688508609","46958.5532476429","0.891080215976523","0.962817275654156","1795.17785154921","0.280553451762779","1.43589852111888","5933.43307759924","0.321910521241783"
" ","Slope","0.578661725583055","2.19236177601839","0.566030715622491","1.45428538813191","1656.3694753713","0.253140151940755","0.291473747158871","125.744981181346","0.189114249470969","4.11243099980184","33388.4930882292","0.107467423928991","0.245985070839366","1909.60458155595","0.872059411625067","0.192338929981217","6657.36677551794","0.652345475076227"
